customer_id,region,plan_type,contract_type,payment_method,device_type,support_channel,issue_type,tenure_months,monthly_charges_usd,total_charges_usd,avg_monthly_data_gb,num_support_contacts,first_call_resolution,nps_score,csat_score,csat_verbatim_text,sentiment_label,sentiment_score,churn_risk_score,churned,revenue_per_tenure_month,support_intensity_index,loyalty_tier,weighted_sentiment_index,interaction_date
CUST00001,Northeast,Basic,2-Year,In-Store,Tablet,Phone,Network Outage,14,178.86,2575.24,11.35,13,True,-93,1,No accountability at all,Negative,0.1806,100,1,183.95,0.8667,Silver,0.2622,2023-02-12
CUST00002,Southwest,Enterprise,Month-to-Month,Mail,Business Line,Email,No Issue,1,196.93,173.68,51.29,8,True,-45,3,Got what I needed but took a while,Neutral,0.329,100,1,173.68,4.0,Bronze,0.5463,2023-12-06
CUST00003,Southwest,Premium,Month-to-Month,Mail,Business Line,Chat,Device Problem,11,151.44,1692.3,74.6,11,True,80,1,Agent was unhelpful,Negative,0.2319,100,1,153.85,0.9167,Bronze,0.565,2022-06-13
CUST00004,Southeast,Basic,1-Year,In-Store,Home Internet,Email,Network Outage,48,108.15,5108.32,84.52,2,True,36,2,Worst customer service experience,Negative,0.081,100,1,106.42,0.0408,Gold,0.588,2023-03-26
CUST00005,Midwest,Basic,Month-to-Month,Auto-Pay,Hotspot,In-Store,Speed Issue,9,76.41,714.22,105.29,10,True,67,4,Agent went above and beyond,Positive,0.9539,56.6,0,79.36,1.0,Bronze,0.8422,2024-07-28
CUST00006,Southeast,Premium,Month-to-Month,Manual-Online,Business Line,App,Speed Issue,75,124.25,9008.5,44.08,4,False,-77,1,Poor network reliability,Negative,0.1882,100,1,120.11,0.0526,Platinum,0.2403,2024-05-14
CUST00007,Southwest,Basic,1-Year,Mail,Business Line,In-Store,Plan Change,33,243.63,8217.92,2.37,3,True,96,3,Got what I needed but took a while,Neutral,0.3474,66.8,0,249.03,0.0882,Silver,0.793,2022-01-07
CUST00008,Midwest,Standard,2-Year,Auto-Pay,Hotspot,App,Plan Change,26,63.61,1658.0,65.19,0,True,25,1,Terrible wait times,Negative,0.2636,100,1,63.77,0.0,Silver,0.4688,2023-09-22
CUST00009,Southeast,Basic,Month-to-Month,Auto-Pay,Smartphone,In-Store,No Issue,9,245.15,2110.46,15.97,15,True,-33,5,Very professional support team,Positive,0.7693,56.6,0,234.5,1.5,Bronze,0.7672,2023-03-10
CUST00010,Southwest,Standard,2-Year,In-Store,Home Internet,Email,Device Problem,67,129.32,7794.37,8.62,0,True,50,2,Very disappointed with service,Negative,0.0687,100.0,1,116.33,0.0,Platinum,0.6125,2022-03-06
CUST00011,Midwest,Basic,2-Year,Manual-Online,Hotspot,In-Store,Network Outage,70,59.1,4290.49,68.95,15,True,100,4,Agent went above and beyond,Positive,0.6762,60.0,0,61.29,0.2113,Platinum,0.9,2022-07-18
CUST00012,West,Premium,1-Year,Mail,Home Internet,Chat,Contract Issue,84,246.51,18008.4,48.91,10,True,-37,2,Problem kept recurring,Negative,0.0421,100,1,214.39,0.1176,Platinum,0.4602,2023-01-11
CUST00013,Midwest,Enterprise,Month-to-Month,Auto-Pay,Home Internet,App,Billing Dispute,7,173.46,1163.37,2.76,2,True,-58,4,Problem resolved quickly,Positive,0.9459,65.6,1,166.2,0.25,Bronze,0.6235,2022-05-01
CUST00014,Southeast,Enterprise,Month-to-Month,Mail,Hotspot,In-Store,Speed Issue,55,183.24,10038.91,94.22,15,True,-52,3,Service was okay,Neutral,0.4738,100,1,182.53,0.2679,Gold,0.534,2022-05-05
CUST00015,Midwest,Basic,Month-to-Month,Mail,Business Line,App,Network Outage,8,241.36,1672.19,23.11,2,True,3,1,Will consider switching providers,Negative,0.0739,100,1,209.02,0.2222,Bronze,0.4303,2022-03-23
CUST00016,Southwest,Basic,1-Year,In-Store,Hotspot,Phone,Contract Issue,41,82.5,3142.87,80.93,9,False,-20,1,Will consider switching providers,Negative,0.2995,100,1,76.66,0.2143,Gold,0.34,2022-07-24
CUST00017,Northeast,Standard,2-Year,In-Store,Tablet,Email,Billing Dispute,32,111.29,3139.44,100.22,9,True,70,5,Outstanding customer care,Positive,0.9727,24.0,0,98.11,0.2727,Silver,0.9475,2022-08-01
